snapshot,SE-N hydro,SE-S hydro,NO-N hydro,NO-S hydro,FI hydro
2023-01-14 21:00:00,15910120.192189911,5006203.195366782,35351073.39280089,39947260.57394417,1097973.0087616052
2023-01-15 00:00:00,15910512.308366206,5011146.957889839,35359735.7456942,39980433.9427519,1102093.301801149
2023-01-15 03:00:00,15911838.71498638,5016090.720412896,35369657.89079186,40013914.777952574,1107101.9061488763
2023-01-15 06:00:00,15913236.234887034,5021034.482935953,35377989.04011053,40045322.03097934,1112110.5104966036
2023-01-15 09:00:00,15915558.914315147,5025978.24545901,35383737.70858241,40074448.25618768,1117119.1148443308
2023-01-15 12:00:00,15918138.745411178,5030922.007982067,35384184.34024392,40104397.208411165,1122127.719192058
2023-01-15 15:00:00,15917935.348122379,5035865.770505124,35380772.17738294,40134796.144637145,1127136.3235397853
2023-01-15 18:00:00,15920359.035055697,5040809.533028181,35374257.58804178,40166151.39461466,1132144.9278875126
2023-01-15 21:00:00,15927715.540961431,5045753.295551238,35367577.12540946,40198930.72381573,1137153.5322352399
2023-01-16 00:00:00,15923969.373123107,5042232.476929946,35362534.0007763,40219047.74837212,1142159.3344981782
2023-01-16 03:00:00,15920223.205284784,5028305.884367751,35357757.98830041,40232696.16229672,1147165.1367611166
2023-01-16 06:00:00,15916477.03744646,5012251.921426278,35353340.746984035,40236696.91677035,1142570.939024055
2023-01-16 09:00:00,15912730.869608136,4996197.958484804,35349895.88122922,40242578.47679823,1137976.7412869933
2023-01-16 12:00:00,15908984.701769812,4980143.995543331,35345825.22707619,40246845.71905247,1133382.5435499316
2023-01-16 15:00:00,15905238.533931488,4964090.032601858,35340819.71872516,40246980.518064186,1135212.9342876705
2023-01-16 18:00:00,15901492.366093164,4948036.069660384,35334738.84785956,40259607.214902215,1138536.645653811
2023-01-16 21:00:00,15897746.19825484,4950111.909017947,35333233.42005315,40266384.396287456,1141830.6604913834
2023-01-17 00:00:00,15893989.527041681,4945036.04237733,35336817.16884863,40281507.08637756,1146833.4850840266
2023-01-17 03:00:00,15890232.855828522,4938260.587155579,35340758.47037846,40296132.70068191,1148238.8770403129
2023-01-17 06:00:00,15886476.184615362,4922209.029992609,35346124.79962803,40303681.89086441,1146316.8136916354
2023-01-17 09:00:00,15882719.513402203,4906157.47282964,35353257.40927768,40309636.02756356,1144414.1628472144
2023-01-17 12:00:00,15878962.842189044,4890105.915666671,35362109.722196974,40315836.19888758,1139816.9874398576
2023-01-17 15:00:00,15875206.170975884,4874054.358503701,35372151.24512361,40323246.27469534,1135219.8120325007
2023-01-17 18:00:00,15871449.499762725,4858002.801340732,35381680.989697315,40333429.756524846,1135719.7401872482
2023-01-17 21:00:00,15867692.828549566,4844379.893553311,35391252.14485045,40350464.75191518,1140722.5647798914
2023-01-18 00:00:00,15863924.592878794,4838264.937935556,35400873.12173291,40370187.91034426,1143073.0102381802
2023-01-18 03:00:00,15860156.357208023,4830478.737436278,35408626.37028086,40388480.67073088,1141525.1367050235
2023-01-18 06:00:00,15856388.121537251,4814429.730180816,35414195.04025285,40394311.751126386,1136924.8090491246
2023-01-18 09:00:00,15852619.88586648,4798380.722925354,35416923.660160854,40399920.51282357,1132324.4813932257
2023-01-18 12:00:00,15848851.650195708,4782331.715669892,35416511.57769134,40401339.38821213,1127724.1537373269
2023-01-18 15:00:00,15845083.414524937,4766282.70841443,35415917.16134297,40398499.99281891,1123123.826081428
2023-01-18 18:00:00,15841315.178854166,4750233.701158968,35413620.555411816,40402154.346100606,1120517.2656707503
2023-01-18 21:00:00,15837546.943183394,4734184.693903506,35413934.13218847,40409284.41012422,1122422.7166963262
2023-01-19 00:00:00,15833766.085399032,4718138.393199898,35419296.03701296,40423979.438590325,1119785.6533254036
2023-01-19 03:00:00,15829985.22761467,4702092.092496291,35426002.56263673,40430477.70428501,1115181.9999228101
2023-01-19 06:00:00,15826204.369830307,4686045.791792683,35429599.10987678,40419361.15718818,1110578.3465202167
2023-01-19 09:00:00,15822423.512045944,4669999.491089076,35430120.40425006,40407367.19920355,1105974.6931176232
2023-01-19 12:00:00,15818642.654261582,4653953.190385468,35428687.14824673,40394920.889469184,1101371.0397150298
2023-01-19 15:00:00,15814861.79647722,4637906.889681861,35425904.69391482,40380483.94280747,1096767.3863124363
2023-01-19 18:00:00,15811080.938692857,4621860.588978253,35423352.23332244,40368995.37120957,1095057.9116900107
2023-01-19 21:00:00,15807300.080908494,4605814.288274646,35422087.112711094,40365633.736987635,1096264.60551437
2023-01-20 00:00:00,15803505.547094768,4589770.862822335,35423359.61715867,40367886.10307224,1098694.7176694681
2023-01-20 03:00:00,15799711.013281042,4573727.437370025,35426093.87320764,40366685.399122685,1099111.2148023131
2023-01-20 06:00:00,15795916.479467316,4557684.011917714,35426403.472616315,40353434.00186897,1098535.2876719378
2023-01-20 09:00:00,15792121.94565359,4541640.586465403,35426644.53660661,40343086.2345524,1098281.541964023
2023-01-20 12:00:00,15788327.411839863,4525597.161013093,35422984.110933796,40339062.771975614,1093674.390472458
